temp,visib,day,mo,year,NUM_COLLISIONS
76,8.9,1,07,2012,505
78.5,10,1,07,2012,533
79,9.2,1,07,2012,528
73.1,10,1,07,2012,530
80.3,10,1,07,2012,564
76.5,10,2,07,2012,524
79.8,10,2,07,2012,664
80.3,8.1,2,07,2012,574
84.6,9.4,2,07,2012,648
73.4,10,2,07,2012,540
81.8,9.2,3,07,2012,432
85.3,7.2,3,07,2012,559
77.1,10,3,07,2012,565
76.5,10,3,07,2012,612
73.3,7.5,4,07,2012,522
77.4,10,4,07,2012,577
86.7,9.4,4,07,2012,591
78,8.9,4,07,2012,604
67.2,7.4,5,07,2012,604
78.9,9.9,5,07,2012,603
76.6,9.1,5,07,2012,638
81.9,10,5,07,2012,638
78.5,10,6,07,2012,536
75.5,7,6,07,2012,513
84.9,9.5,6,07,2012,490
68.1,9.8,6,07,2012,528
72.5,10,7,07,2012,498
83.6,9.7,7,07,2012,538
79.7,9.1,7,07,2012,494
80.6,8.5,7,07,2012,464
71.7,9.4,7,07,2012,376
71.4,10,1,08,2012,473
71.9,8.6,1,08,2012,548
76.3,9.2,1,08,2012,504
77.3,8.9,1,08,2012,593
75.2,10,2,08,2012,547
77.9,9,2,08,2012,587
76,9.6,2,08,2012,520
72.8,10,2,08,2012,482
77.8,8.8,3,08,2012,528
73.8,9.8,3,08,2012,504
73.3,10,3,08,2012,550
72.2,7.8,3,08,2012,616
73.6,6.5,3,08,2012,602
78.2,9.3,4,08,2012,581
74,6.7,4,08,2012,613
72,10,4,08,2012,618
74.7,8.9,4,08,2012,574
75,6.2,4,08,2012,570
78.7,9.9,5,08,2012,701
77.3,9.3,5,08,2012,601
77.9,9.5,5,08,2012,574
77.9,6,5,08,2012,589
75.3,7.6,5,08,2012,617
77.7,7.8,6,08,2012,507
77.9,5.7,6,08,2012,568
75.7,7.3,6,08,2012,474
69.8,8.4,6,08,2012,540
77.8,8.7,7,08,2012,505
78.1,5.8,7,08,2012,518
73.9,10,7,08,2012,471
68.7,10,7,08,2012,467
73.8,10,1,09,2012,373
65.4,10,1,09,2012,637
66.5,10,1,09,2012,452
59,10,1,09,2012,562
62,10,2,09,2012,594
62.8,10,2,09,2012,521
72.6,8.8,2,09,2012,606
70.6,7.6,2,09,2012,556
68.5,10,3,09,2012,651
66.7,7.6,3,09,2012,612
75.2,6.7,3,09,2012,601
67.7,10,3,09,2012,404
61,10,4,09,2012,522
69,8.7,4,09,2012,620
70.4,10,4,09,2012,632
73.2,9.7,4,09,2012,572
70.5,9.7,5,09,2012,609
64.7,10,5,09,2012,654
65.2,5.9,5,09,2012,703
77,8.7,5,09,2012,680
62.4,7.6,6,09,2012,485
75.3,8.8,6,09,2012,598
66.3,8.1,6,09,2012,547
67.2,10,6,09,2012,557
81.6,9.9,6,09,2012,515
63.8,9,7,09,2012,480
60.5,9.5,7,09,2012,449
68.4,9.5,7,09,2012,464
75.4,9.8,7,09,2012,421
65.1,10,7,09,2012,458
56.9,6.1,1,10,2012,298
65.3,9.4,1,10,2012,607
57.8,10,1,10,2012,609
49.9,9,1,10,2012,376
60.6,10,1,10,2012,555
53.8,8.5,2,10,2012,570
55.8,9.9,2,10,2012,602
53.9,8.1,2,10,2012,372
63.7,7.3,2,10,2012,593
59,9.7,2,10,2012,522
49.7,8.6,3,10,2012,549
57.1,6.4,3,10,2012,494
51.9,10,3,10,2012,615
65.6,1.5,3,10,2012,502
58.2,7.5,3,10,2012,640
58,10,4,10,2012,511
53.4,10,4,10,2012,657
56.8,9.7,4,10,2012,630
68.6,2.9,4,10,2012,554
51.2,10,5,10,2012,594
63.2,6.1,5,10,2012,738
67.8,8.4,5,10,2012,693
60.8,10,5,10,2012,598
66.1,7,6,10,2012,500
45.2,10,6,10,2012,547
62.7,5,6,10,2012,587
61.9,9.6,6,10,2012,524
52.5,9.3,7,10,2012,481
56.5,10,7,10,2012,426
58.7,10,7,10,2012,517
57.7,9.6,7,10,2012,403
40.3,10,1,11,2012,563
56.7,7.4,1,11,2012,547
42.3,10,1,11,2012,479
43,10,1,11,2012,585
36.6,10,2,11,2012,514
44.4,10,2,11,2012,671
38.7,7,2,11,2012,583
52.4,8.8,2,11,2012,648
37.5,9.3,3,11,2012,512
42.8,9.6,3,11,2012,625
46.5,10,3,11,2012,689
37.1,7.3,3,11,2012,718
37.5,9.7,4,11,2012,515
40.4,10,4,11,2012,623
47.7,10,4,11,2012,439
41.2,5.1,4,11,2012,550
47.3,10,4,11,2012,384
43.3,9.8,5,11,2012,688
48.2,10,5,11,2012,345
41.9,9.7,5,11,2012,672
48.3,8.9,5,11,2012,481
41.3,9.3,5,11,2012,576
43.6,10,6,11,2012,542
48,7.9,6,11,2012,444
44.1,9.5,6,11,2012,458
44.7,10,6,11,2012,307
43.2,9.8,7,11,2012,446
43.2,10,7,11,2012,344
54.7,7,7,11,2012,526
36.6,10,7,11,2012,415
42,5.6,1,12,2012,649
50.3,2.8,1,12,2012,619
37,10,1,12,2012,518
31.5,10,1,12,2012,482
53.5,7,1,12,2012,621
37.5,6.8,2,12,2012,354
51.9,5.6,2,12,2012,621
50.1,7.3,2,12,2012,578
47.3,5.3,2,12,2012,645
32.2,8.8,3,12,2012,531
44,10,3,12,2012,590
52.6,9.1,3,12,2012,514
40.1,10,3,12,2012,550
35,10,4,12,2012,620
40.3,10,4,12,2012,545
39.1,6,4,12,2012,525
39.8,10,4,12,2012,606
41.4,10,5,12,2012,648
33,9.4,5,12,2012,557
47.3,7.1,5,12,2012,751
38.8,7.9,5,12,2012,714
38.5,9.3,6,12,2012,480
47.3,3.7,6,12,2012,580
42.6,9.9,6,12,2012,523
37.4,10,6,12,2012,542
32.5,7.8,6,12,2012,442
44.3,3.9,7,12,2012,455
44.5,7.5,7,12,2012,500
32.4,8.8,7,12,2012,411
46.2,7.2,7,12,2012,544
37.8,10,7,12,2012,408
31.2,9.2,1,01,2013,355
35.9,8.8,1,01,2013,521
27.3,8.8,1,01,2013,507
47.2,1.3,1,01,2013,542
39.8,9.8,2,01,2013,513
42.3,9.5,2,01,2013,516
26.3,6.5,2,01,2013,544
38,10,2,01,2013,381
35.4,2.6,2,01,2013,542
39.9,6.8,3,01,2013,487
45.1,4.4,3,01,2013,497
27.5,10,3,01,2013,480
41.6,7,3,01,2013,578
16.2,10,3,01,2013,545
14.3,10,4,01,2013,554
21.8,10,4,01,2013,549
43.5,9.9,4,01,2013,555
39.4,8.6,4,01,2013,491
46.5,5.9,4,01,2013,592
19,10,5,01,2013,674
38,10,5,01,2013,660
28.1,7.5,5,01,2013,561
32.2,10,5,01,2013,505
35.9,9.2,6,01,2013,484
24.4,8.6,6,01,2013,558
37.3,10,6,01,2013,389
42.7,7.1,6,01,2013,475
35.7,9.8,7,01,2013,393
46.3,7,7,01,2013,393
21.7,10,7,01,2013,429
45.4,4.3,7,01,2013,373
24.6,9.3,1,02,2013,398
37.5,8.3,1,02,2013,490
36.4,7.6,1,02,2013,475
29,8.8,1,02,2013,553
28.7,7.8,2,02,2013,566
35,10,2,02,2013,537
36.7,10,2,02,2013,477
41.4,6.5,2,02,2013,498
34.8,9,3,02,2013,566
44.1,5.9,3,02,2013,550
38.7,8.5,3,02,2013,510
36.1,10,3,02,2013,570
29.4,10,4,02,2013,526
36.6,8.4,4,02,2013,631
30.6,10,4,02,2013,498
41.4,7.2,4,02,2013,517
38.6,9.8,5,02,2013,604
33.1,10,5,02,2013,574
35.4,9.8,5,02,2013,531
34.3,7.3,5,02,2013,703
29.2,1.2,6,02,2013,403
39.2,9.2,6,02,2013,449
27.6,10,6,02,2013,534
36.3,9.7,6,02,2013,521
24.7,8.9,7,02,2013,400
30.9,4.2,7,02,2013,447
30.7,8.2,7,02,2013,445
42.6,4.3,7,02,2013,426
37,10,1,03,2013,597
38.1,10,1,03,2013,498
39.9,10,1,03,2013,522
32.1,10,1,03,2013,623
46,7.5,2,03,2013,547
39.6,4.6,2,03,2013,559
38.5,9.9,2,03,2013,527
39.8,9.7,2,03,2013,425
36.5,10,3,03,2013,540
39.1,9.4,3,03,2013,475
41.7,10,3,03,2013,441
46.3,7.1,3,03,2013,636
38.3,9.8,4,03,2013,508
37,9.7,4,03,2013,557
42.5,9.9,4,03,2013,549
38.3,4.1,4,03,2013,535
31.2,10,5,03,2013,607
34.3,6.8,5,03,2013,604
37.4,3.3,5,03,2013,851
39.3,9.4,5,03,2013,603
45.2,10,5,03,2013,520
38.5,10,6,03,2013,488
37.1,10,6,03,2013,521
38.2,10,6,03,2013,474
39.2,9.9,6,03,2013,569
44.5,10,6,03,2013,513
34.8,9.9,7,03,2013,426
39.1,10,7,03,2013,451
37.4,10,7,03,2013,502
39,10,7,03,2013,415
43,10,7,03,2013,426
43,10,1,04,2013,565
46.1,10,1,04,2013,603
49.7,9.9,1,04,2013,598
50,9.1,1,04,2013,582
47,6.8,1,04,2013,479
39.6,9.9,2,04,2013,437
46,10,2,04,2013,564
49.4,6.7,2,04,2013,613
51,10,2,04,2013,576
44.6,5.1,2,04,2013,513
46.5,7.6,3,04,2013,580
42.6,10,3,04,2013,532
52.1,8.3,3,04,2013,535
47.5,7,3,04,2013,598
39,10,4,04,2013,566
50.8,7.2,4,04,2013,583
46.2,6.6,4,04,2013,517
46.5,10,4,04,2013,553
52.6,4.6,5,04,2013,570
42.9,8.7,5,04,2013,582
49.5,9.5,5,04,2013,675
43.6,7.7,5,04,2013,649
44.4,8.2,6,04,2013,555
52.7,3.6,6,04,2013,532
46.6,8.6,6,04,2013,517
40.2,10,6,04,2013,531
48,9.8,7,04,2013,440
45.1,10,7,04,2013,471
46.1,9.6,7,04,2013,472
39.7,10,7,04,2013,451
53.1,9.9,1,05,2013,577
57.5,2.9,1,05,2013,657
49.2,5.1,1,05,2013,561
56.9,10,1,05,2013,420
54.4,4.4,2,05,2013,592
56.6,9.9,2,05,2013,686
58,0.3,2,05,2013,697
51,9.8,2,05,2013,565
53.1,10,3,05,2013,532
57.9,4.9,3,05,2013,574
49.9,7.4,3,05,2013,576
57.8,2.5,3,05,2013,570
59.4,7.5,3,05,2013,620
61.5,3,4,05,2013,735
49.9,9.5,4,05,2013,585
60.9,6.1,4,05,2013,685
57.7,7.1,4,05,2013,559
57.2,5,4,05,2013,602
62,6.7,5,05,2013,736
46.9,9.9,5,05,2013,686
61,2.1,5,05,2013,668
58.2,9.9,5,05,2013,741
56.1,5.7,5,05,2013,698
56.2,3.7,6,05,2013,523
47.8,10,6,05,2013,580
55.6,4.6,6,05,2013,514
54.6,10,6,05,2013,506
56.2,3.3,7,05,2013,527
56.3,9.3,7,05,2013,544
47.8,9.7,7,05,2013,515
50.2,9.3,7,05,2013,455
66.8,2.8,1,06,2013,680
63.2,7,1,06,2013,614
60.8,2,1,06,2013,707
62.2,9.3,1,06,2013,624
69.7,8.4,2,06,2013,648
60.8,1.8,2,06,2013,635
61.8,7.5,2,06,2013,613
60.9,3.1,2,06,2013,613
69.5,6.1,3,06,2013,621
64,8.1,3,06,2013,615
58.6,9.8,3,06,2013,599
62.6,8.4,3,06,2013,622
60.6,9.6,4,06,2013,681
60.8,10,4,06,2013,534
65.5,3.1,4,06,2013,598
58.6,10,4,06,2013,605
55,7,5,06,2013,693
56.1,7.7,5,06,2013,791
66.1,2.1,5,06,2013,608
62,10,5,06,2013,690
62.4,10,6,06,2013,596
60.9,7,6,06,2013,631
62.3,4.8,6,06,2013,571
63.4,10,6,06,2013,599
66.2,1.4,6,06,2013,591
65.4,1.9,7,06,2013,423
61.3,8.9,7,06,2013,477
64.9,9.8,7,06,2013,505
61.8,4.6,7,06,2013,487
63.6,6.9,7,06,2013,533
66.7,4.1,1,07,2013,633
68.3,5.6,1,07,2013,591
69.2,6.5,1,07,2013,597
72.6,6.7,1,07,2013,617
76.3,9.3,1,07,2013,581
72.7,5.7,2,07,2013,583
77.4,8.3,2,07,2013,582
67.7,4,2,07,2013,601
71.2,7.8,2,07,2013,584
72.1,3.7,2,07,2013,571
74.9,5.7,3,07,2013,571
71.1,1.9,3,07,2013,614
68.7,2.5,3,07,2013,635
70.6,10,3,07,2013,553
72.9,9.9,3,07,2013,609
67.7,9.7,4,07,2013,507
69.8,1.8,4,07,2013,438
75.6,8.1,4,07,2013,636
71.8,4.9,4,07,2013,550
66.1,6,5,07,2013,617
71.6,6.8,5,07,2013,576
69.4,3.1,5,07,2013,599
73.9,2.8,5,07,2013,697
